id	x	y	group	color	size	metadata
_h5_4391	35448.34	13296.02	89	C19A6B	30	regular
_h5_4455	35362.66	13299.59	89	C19A6B	30	regular
_h5_3952	19215.78	16968.95	251	801818	30	regular
_h5_3976	19214.98	16942.93	274	B53389	30	regular
_h5_4393	19188.64	17248.13	251	801818	30	regular
_h5_4353	19217.39	16707.59	150	DE5285	30	regular
_h5_3956	20320.75	18089.15	78	232B2B	30	regular
_h5_3915	20319.45	18086.1	78	232B2B	30	regular
_h5_3957	27584.65	11020.37	203	E68FAC	30	regular
_h5_3717	27607.02	10984.88	203	E68FAC	30	regular
_h5_4550	27438.19	11212.85	203	E68FAC	30	regular
_h5_3954	28558.33	13578.72	136	DFFF00	30	regular
_h5_3844	28505.01	13592.21	136	DFFF00	30	regular
_h5_3943	28607.76	13585.75	136	DFFF00	30	regular
_h5_4064	28337.3	13574.99	136	DFFF00	30	regular
_h5_4188	28386.35	13571.26	136	DFFF00	30	regular
_h5_3962	28642.2	13583.12	136	DFFF00	30	regular
_h5_4101	28839.78	13581.98	12	7FFF00	30	regular
_h5_4227	28794.31	13577.6	136	DFFF00	30	regular
_h5_4228	28724.12	13572.13	136	DFFF00	30	regular
_h5_3955	25020.68	15373.72	8	DE3163	30	regular
_h5_3780	25197.6	15187.73	8	DE3163	30	regular
_h5_3800	25196.68	15183.98	8	DE3163	30	regular
_h5_3802	25200.33	15180.33	8	DE3163	30	regular
_h5_4114	25202.97	15182.36	8	DE3163	30	regular
_h5_4565	24940.98	15218.09	8	DE3163	30	regular
_h5_3929	25218.49	15163.13	8	DE3163	30	regular
_h5_3946	25212.05	15168.99	8	DE3163	30	regular
_h5_4016	25214.56	15171.16	8	DE3163	30	regular
_h5_3958	32299.72	13637.18	85	FFB7C5	30	regular
_h5_3965	32435.84	13483.16	85	FFB7C5	30	regular
_h5_4011	32363.93	13429.38	85	FFB7C5	30	regular
_h5_4311	32480.37	13467.78	85	FFB7C5	30	regular
_h5_4344	32073.69	13701.91	85	FFB7C5	30	regular
_h5_4357	32086.86	13693.42	85	FFB7C5	30	regular
_h5_4367	32134.53	13675.43	85	FFB7C5	30	regular
_h5_4384	32244.41	13635.06	85	FFB7C5	30	regular
_h5_4756	32447.6	13855.96	85	FFB7C5	30	regular
_h5_3959	28423.7	27557.36	-1	000	10	regular
_h5_4717	41860.38	9161.38	483	904535	30	regular
_h5_4697	41898.91	9177.24	483	904535	30	regular
_h5_4152	27400.14	28718.07	-1	000	10	regular
_h5_3738	25053.44	23064.17	-1	000	10	regular
_h5_4157	26082.52	16983.87	6	664423	30	regular
_h5_3582	26061.28	17034.33	6	664423	30	regular
_h5_3970	25978.33	17146.03	6	664423	30	regular
_h5_3994	26117.41	16798.01	27	DE6FA1	30	regular
_h5_4023	25929.95	17224.52	6	664423	30	regular
_h5_4281	26045.61	17022.76	6	664423	30	regular
_h5_3854	26248.53	16747.95	27	DE6FA1	30	regular
_h5_4156	21537.13	28236.53	408	A8516E	30	regular
_h5_3807	21578.53	28262.41	408	A8516E	30	regular
_h5_4107	21588.8	28268.83	408	A8516E	30	regular
_h5_4155	30583.02	14138.27	152	AA381E	30	regular
_h5_4265	30666.92	14139.19	152	AA381E	30	regular
_h5_4633	30385.03	14112.15	152	AA381E	30	regular
_h5_4195	30758.12	14133.64	152	AA381E	30	regular
_h5_4288	30710.39	14137.64	152	AA381E	30	regular
_h5_4328	30873.18	14116.21	152	AA381E	30	regular
_h5_4154	17019.79	15442.5	276	856088	30	regular
_h5_4100	17094.42	15439.4	276	856088	30	regular
_h5_4208	16999.99	15446.96	276	856088	30	regular
_h5_4423	17044.16	15443.71	276	856088	30	regular
_h5_3732	34373.49	24561.98	-1	000	10	regular
_h5_4090	26816.24	13902.57	91	7B3F00	30	regular
_h5_3977	26656.06	14070.08	13	D2691E	30	regular
_h5_3814	26925.0	13878.76	91	7B3F00	30	regular
_h5_3847	26994.23	13829.54	91	7B3F00	30	regular
_h5_4005	26951.52	13848.53	91	7B3F00	30	regular
_h5_4026	27040.14	13837.82	91	7B3F00	30	regular
