id	x	y	group
_h5_4285	25476.49	25085.66	33
_h5_3712	25284.51	24898.26	8
_h5_3923	25266.52	24881.28	8
_h5_3637	25471.47	25085.19	8
_h5_3913	25395.3	25008.54	8
_h5_3917	25483.29	25097.55	8
_h5_4282	26638.95	23235.71	27
_h5_4115	26506.02	23233.41	27
_h5_4147	26576.06	23239.32	27
_h5_4831	7969.23	24825.16	220
_h5_4832	42268.15	31451.14	112
_h5_4785	42062.98	31343.4	112
_h5_4798	42020.78	31315.58	112
_h5_4112	29291.3	26335.46	12
_h5_4132	29168.97	26363.27	12
_h5_4258	29055.5	26386.68	12
_h5_3961	29361.89	26309.8	12
_h5_4543	29532.76	26251.96	313
_h5_4086	21914.46	22010.64	273
_h5_3934	21911.15	22011.06	273
_h5_4192	21911.87	22003.14	273
_h5_4215	21915.13	22003.8	273
_h5_4255	21999.77	21765.87	273
_h5_4260	21998.26	21735.68	273
_h5_4295	21910.45	22116.0	273
_h5_4304	11943.93	11240.19	161
_h5_4299	11872.39	11433.38	161
_h5_4305	24409.95	19132.97	74
_h5_4171	18421.61	12085.19	123
_h5_4030	18128.2	12025.87	123
_h5_4170	30989.98	25908.41	152
_h5_4191	31182.04	25958.64	450
_h5_4768	18843.88	28536.57	287
_h5_3667	18551.64	28509.14	287
_h5_4233	23303.26	10787.21	117
_h5_3870	23341.86	10821.68	117
_h5_4235	25464.45	28183.08	56
_h5_3871	25581.74	28034.36	56
_h5_3916	25434.16	28224.17	56
_h5_4544	17782.24	24176.42	413
_h6_2	17793.54	23901.26	413
_h5_4542	8041.4	12586.66	319
_h5_4615	7829.02	12389.8	319
_h5_4420	18545.46	24338.52	121
_h5_4562	18320.26	24445.6	121
_h5_4425	19784.31	13286.73	281
_h5_4417	19777.63	13301.52	281
_h5_4122	22292.94	22962.7	43
_h5_4082	22322.77	22986.49	43
_h5_4127	22442.52	22942.33	263
_h5_4580	22460.19	22945.96	43
_h5_4825	43703.68	30804.15	223
_h5_4841	43808.15	30827.46	223
_h5_4452	23118.47	21340.97	312
_h5_4716	23052.96	21248.61	312
_h5_4703	21818.98	21217.28	47
_h5_3937	21766.0	21257.37	47
_h5_4348	21736.87	21262.67	47
_h5_4799	21620.06	21361.22	47
_h5_3935	20774.61	12242.4	69
_h5_3705	20740.32	12261.22	69
_h5_4196	20970.4	12143.88	69
_h5_4207	20702.92	12235.69	69
_h5_4454	29697.79	26184.71	313
_h5_3571	29697.98	26167.83	313
_h5_4045	29887.53	26096.86	313
_h5_4200	29821.13	26126.31	313
_h5_4511	29648.16	26205.55	313
_h5_4751	21488.75	13754.84	166
_h5_3945	11657.21	11462.31	161
_h5_3940	19137.79	23370.53	150
_h5_3987	19157.12	23365.97	150
_h5_3728	24062.58	24464.45	19
_h5_3665	23992.15	24415.63	19
_h5_3709	23988.19	24428.21	19
_h5_3744	23879.01	24336.13	19
_h5_3779	24134.57	24516.03	19
_h5_3896	24017.18	24432.98	19
_h5_4168	14552.83	25313.86	177
_h5_4617	14326.57	25372.16	177
_h5_4706	22765.89	16112.98	345
_h5_4268	22799.32	16316.63	179
_h5_4674	22801.22	16244.81	345
_h5_3839	25651.69	21158.89	234
_h5_3696	25710.17	21298.83	234
_h5_4249	25705.31	21233.25	234
_h5_4015	19852.15	21642.88	94
_h5_3995	19846.01	21641.9	94
_h5_4071	19852.1	21646.21	94
_h5_3834	34540.28	12435.53	375
_h5_4210	34581.12	12419.01	375
_h5_4262	26124.6	23752.5	219
_h5_4247	26130.25	23905.13	219
_h5_4286	26134.24	23947.37	219
_h5_4341	26139.52	23958.19	219
_h5_4267	12750.15	26549.56	147
_h5_4182	12531.42	26620.59	147
_h5_4266	19455.74	22687.63	251
_h5_4701	11317.93	24887.72	486
_h5_3759	16664.07	20770.71	369
_h5_3753	35035.17	19479.02	55
